[2023-04-20 20:39:26] Opened Log File logs/2023-04-20_20-39-26_log.txt
[2023-04-20 20:44:46] DATA: {'ph': 2.0, 'ec': 110.31, 'temp': 19.37, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:49] DATA: {'ph': 2.0, 'ec': 110.93, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:52] DATA: {'ph': 1.97, 'ec': 110.35, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:55] DATA: {'ph': 1.97, 'ec': 111.46, 'temp': 19.19, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:58] DATA: {'ph': 2.0, 'ec': 110.25, 'temp': 19.19, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:01] DATA: {'ph': 1.97, 'ec': 111.6, 'temp': 19.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:04] DATA: {'ph': 2.0, 'ec': 110.16, 'temp': 19.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:07] DATA: {'ph': 1.97, 'ec': 111.99, 'temp': 19.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:10] DATA: {'ph': 1.97, 'ec': 111.51, 'temp': 19.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:45:13] DATA: {'ph': -0.07, 'ec': 120.68, 'temp': 19.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
